#NSGA2
popsize 50
maxGen 100
numVar 3
numObj 2
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 100
currentGen	1
evaluateCount	50
totalTime	0.0124311
firstFrontCount	4
frontCount	12
avgEvalTime	3.65507e-05
#end
Var1	Var2	Var3	Obj1	Obj2	
-0.561299	3.77172	-1.5161	-9.09952	4.48915	
-3.92478	2.64735	3.96277	-7.73495	7.35234	
-3.11357	1.73522	0.158898	-11.9597	4.64244	
3.61963	-2.01845	-1.96703	-10.0565	-4.72089	
-2.78896	-3.60166	4.59012	-7.13434	8.15497	
1.80683	3.04794	0.362062	-10.3356	2.64471	
3.21456	-2.37567	1.95705	-9.89906	12.0764	
3.51032	-4.12847	4.65787	-6.26292	3.69872	
2.00918	-4.24464	4.4284	-6.8415	4.14514	
4.62463	-1.11247	0.76942	-11.4921	-2.39535	
3.17162	-4.23456	3.65313	-6.73871	3.31661	
-3.18628	3.34674	3.41036	-7.8142	7.36586	
0.086175	0.20019	-1.33105	-17.2133	-1.81122	
4.23601	2.00228	4.90729	-7.38223	11.6135	
4.68966	-4.07272	-1.29404	-7.14155	11.1505	
0.301634	-4.19407	2.04305	-8.24641	14.3403	
-1.53028	-3.87708	4.41901	-7.43058	-0.127031	
-2.92654	-4.90195	3.68563	-6.12529	13.1105	
1.78635	-3.28295	-3.23339	-8.71442	4.23816	
3.95855	-4.19023	-4.28157	-6.17475	10.347	
-4.76565	0.725086	-1.74609	-10.6647	6.83422	
0.249133	-0.980922	1.29231	-15.3966	2.73136	
1.31625	-1.57324	4.5666	-10.4409	17.4239	
-1.66655	1.71042	-4.73826	-9.85389	8.81156	
3.61773	-1.64827	4.20069	-8.57089	6.4089	
-2.5392	-4.22342	-2.16556	-7.60249	13.8674	
-1.97058	1.22158	0.817838	-13.7422	6.28975	
1.92317	-3.56439	-1.51995	-9.05557	6.52492	
1.23393	3.58977	-0.284319	-9.54702	12.7825	
1.9072	-4.06241	-4.42402	-7.08378	20.3647	
3.25202	-4.0921	-2.93622	-7.16757	10.7336	
2.9324	1.81732	-0.300094	-11.9344	3.25018	
3.97769	-0.914701	1.58548	-11.3551	-1.29084	
4.58419	-1.9818	2.24856	-9.17417	1.72303	
2.51902	-3.14369	0.683799	-9.72263	7.24132	
-4.38887	1.83282	1.68726	-9.93861	-0.599978	
-3.658	3.93097	-3.30336	-6.99765	13.8925	
0.4411	-4.65386	3.14564	-7.17764	4.13718	
0.951025	-0.941996	1.44035	-14.7391	4.09726	
-1.33657	4.9997	2.06045	-6.94284	3.21152	
-3.03198	3.29573	-1.97511	-8.72072	-4.87924	
0.230177	1.24865	-4.95249	-11.358	5.46976	
2.75371	-2.87604	-2.96021	-8.89005	12.6975	
2.94802	-2.301	3.30791	-9.20026	6.15353	
4.97261	-1.04624	3.99643	-7.99633	5.21089	
0.308434	-4.17749	-0.814506	-8.59562	4.96471	
-4.81096	4.01521	-1.25041	-7.16813	12.7678	
-4.88156	0.0114998	-0.566163	-12.6962	3.75043	
3.52444	0.00862828	-3.87805	-9.54585	-0.185481	
2.91401	4.34827	3.55888	-6.76074	13.4424	



#Generation 2 / 100
currentGen	2
evaluateCount	100
totalTime	0.212221
firstFrontCount	3
frontCount	9
avgEvalTime	1.30831e-05
#end
Var1	Var2	Var3	Obj1	Obj2	
0.086175	0.20019	-1.33105	-17.2133	-1.81122	
0.249133	-1.05194	1.6218	-14.8492	-6.18158	
-1.14507	0.262062	-1.97511	-14.6196	-6.66189	
0.249133	-0.980922	1.29231	-15.3966	2.73136	
-2.70519	-0.539512	2.63408	-11.6003	-2.55518	
2.12663	-0.695131	0.574477	-14.7421	1.55344	
-0.519968	3.30306	-0.963788	-10.1485	-5.41717	
0.321293	-1.47423	1.7293	-13.7429	-0.687294	
3.61963	-2.01845	-1.96703	-10.0565	-4.72089	
4.62463	-1.11247	0.76942	-11.4921	-2.39535	
-3.03198	3.29573	-1.97511	-8.72072	-4.87924	
-0.709985	-0.257406	-2.14268	-15.0927	3.10527	
3.97769	-0.914701	1.58548	-11.3551	-1.29084	
0.951025	-0.941996	1.44035	-14.7391	4.09726	
-1.53028	0.135507	3.33281	-12.4865	3.23689	
4.0969	-1.9484	-3.71376	-8.35846	-2.63089	
-2.23923	0.322602	-1.12618	-14.2718	3.49428	
1.80683	3.04794	0.362062	-10.3356	2.64471	
-1.97058	1.22158	0.817838	-13.7422	6.28975	
2.9324	1.81732	-0.300094	-11.9344	3.25018	
-4.38887	1.83282	1.68726	-9.93861	-0.599978	
-4.88156	0.0114998	-0.566163	-12.6962	3.75043	
1.80683	2.33588	3.08629	-10.1509	0.547225	
1.80882	-2.9983	3.52563	-8.92701	-0.663411	
-2.02329	0.533704	2.04189	-13.137	4.2944	
-3.11357	1.73522	0.158898	-11.9597	4.64244	
3.52444	0.00862828	-3.87805	-9.54585	-0.185481	
-1.35219	-3.31889	-1.34202	-9.77043	3.27961	
2.48968	1.41642	0.417757	-13.0817	7.09562	
1.49565	1.22158	1.46198	-13.6277	7.82082	
-1.53028	-3.87708	4.41901	-7.43058	-0.127031	
4.58419	-1.9818	2.24856	-9.17417	1.72303	
0.230177	1.24865	-4.95249	-11.358	5.46976	
0.308434	-2.60583	-2.0344	-11.0791	4.80732	
1.92317	-3.40369	-0.270738	-9.62697	3.35872	
0.392314	-4.36439	0.683799	-8.29603	1.37046	
5	-3.44375	-0.921804	-7.87109	0.64228	
1.66594	-3.84994	1.00022	-8.83483	2.21024	
-2.25231	-1.83042	2.85836	-10.6684	6.25555	
4.62463	-4.59483	-0.41496	-6.6893	0.077533	
4.46159	1.10941	1.10832	-11.2951	19.0115	
0.691237	-2.50561	-2.14092	-11.1191	8.29475	
0.326791	-3.90946	0.174211	-9.13477	4.1412	
3.24177	-1.83785	-2.37263	-10.2327	5.36171	
-0.561299	3.77172	-1.5161	-9.09952	4.48915	
1.78635	-3.28295	-3.23339	-8.71442	4.23816	
-4.76565	0.725086	-1.74609	-10.6647	6.83422	
2.94802	-2.301	3.30791	-9.20026	6.15353	
-1.27408	4.34907	0.137084	-8.22837	3.01145	
2.73772	2.28793	0.76942	-11.0696	9.38144	



#Generation 3 / 100
currentGen	3
evaluateCount	150
totalTime	0.23578
firstFrontCount	5
frontCount	8
avgEvalTime	1.129e-05
#end
Var1	Var2	Var3	Obj1	Obj2	
0.086175	0.20019	-1.33105	-17.2133	-1.81122	
0.249133	-1.05194	1.6218	-14.8492	-6.18158	
0.285379	-1.10446	0.0850034	-15.9729	-3.1677	
-1.98356	2.30115	-1.13198	-11.4341	-7.03551	
-0.52882	-1.06554	1.6218	-14.6662	-6.7988	
-1.14507	0.262062	-1.97511	-14.6196	-6.66189	
0.470969	-1.24903	0.0621118	-15.444	-2.27433	
1.44718	-0.102624	0.574477	-16.3798	3.63699	
-1.97058	-0.0790593	0.556147	-15.6779	-1.56785	
-0.519968	3.30306	-0.963788	-10.1485	-5.41717	
0.589873	1.55123	-1.31525	-13.8335	-2.2562	
-2.74513	-0.576326	-1.37978	-13.1215	-4.05646	
-1.22157	1.46778	-0.110831	-14.2753	-2.24651	
0.985782	-0.220377	1.42189	-15.6701	7.96721	
-1.47117	-0.720001	-0.566163	-15.5328	0.252073	
0.249133	-0.980922	1.29231	-15.3966	2.73136	
-2.70519	-0.539512	2.63408	-11.6003	-2.55518	
0.321293	-1.47423	1.7293	-13.7429	-0.687294	
3.61963	-2.01845	-1.96703	-10.0565	-4.72089	
0.839728	-0.254947	-2.41137	-14.5474	0.968042	
-2.35596	0.574405	2.24078	-12.4532	-1.80548	
1.5089	0.059023	1.44035	-14.8886	2.1497	
3.07286	-1.9484	-4.12597	-8.84506	-5.10308	
2.12663	-0.695131	0.454573	-14.8619	0.970495	
-2.08577	-0.0973971	2.85836	-12.2301	-2.34166	
2.12663	-0.695131	0.574477	-14.7421	1.55344	
4.62463	-1.11247	0.76942	-11.4921	-2.39535	
-3.03198	3.29573	-1.97511	-8.72072	-4.87924	
-0.709985	-0.257406	-2.14268	-15.0927	3.10527	
1.54385	-3.40369	-2.34455	-9.11084	-3.01975	
4.62463	-1.02336	0.76942	-11.6188	-1.94965	
2.39773	-1.11493	-1.976	-12.2451	-0.345884	
3.97769	-0.914701	1.58548	-11.3551	-1.29084	
0.951025	-0.941996	1.44035	-14.7391	4.09726	
4.0969	-1.9484	-3.71376	-8.35846	-2.63089	
-2.23923	0.322602	-1.12618	-14.2718	3.49428	
2.18347	-1.91819	0.958705	-12.1042	0.712001	
-0.253394	-0.914701	3.42694	-13.1905	3.2013	
-1.53028	0.135507	3.33281	-12.4865	3.23689	
-1.97058	1.22158	0.817838	-13.7422	6.28975	
-4.38887	1.83282	1.68726	-9.93861	-0.599978	
-4.88156	0.0114998	-0.566163	-12.6962	3.75043	
1.80683	2.33588	3.08629	-10.1509	0.547225	
1.80882	-2.9983	3.52563	-8.92701	-0.663411	
-2.02329	0.533704	2.04189	-13.137	4.2944	
1.04845	-1.43184	1.29231	-13.8116	11.3064	
0.0129036	3.04794	-0.244111	-10.8609	2.51612	
1.81481	2.31433	0.537661	-11.7709	2.59525	
-2.13712	1.03369	-1.07213	-13.6442	5.31895	
1.49565	1.22158	1.46198	-13.6277	7.82082	



#Generation 4 / 100
currentGen	4
evaluateCount	200
totalTime	0.258806
firstFrontCount	8
frontCount	7
avgEvalTime	1.11934e-05
#end
Var1	Var2	Var3	Obj1	Obj2	
0.086175	0.20019	-1.33105	-17.2133	-1.81122	
0.249133	-1.05194	1.6218	-14.8492	-6.18158	
0.285379	-1.10446	0.0850034	-15.9729	-3.1677	
-1.98356	2.30115	-1.13198	-11.4341	-7.03551	
-0.52882	-1.06554	1.6218	-14.6662	-6.7988	
-0.882189	-1.0808	0.0158961	-15.6211	-5.92861	
-0.860089	2.23352	2.59232	-11.2401	-7.93596	
-0.544423	-0.0434812	0.297799	-18.3811	0.403956	
-1.14507	0.262062	-1.97511	-14.6196	-6.66189	
-1.25266	-0.96096	0.735255	-15.1429	-3.60898	
2.24842	0.297232	-0.8524	-14.7015	-4.26004	
-0.425335	-0.652891	0.364709	-17.1677	0.146346	
-1.07816	-1.9484	-4.12597	-10.4208	-7.87104	
-0.552254	-1.1067	0.454573	-15.6804	-3.01516	
0.470969	-1.24903	0.0621118	-15.444	-2.27433	
1.44718	-0.102624	0.574477	-16.3798	3.63699	
-1.97058	-0.0790593	0.556147	-15.6779	-1.56785	
-0.519968	3.30306	-0.963788	-10.1485	-5.41717	
-2.74513	-0.576326	-1.37978	-13.1215	-4.05646	
0.247601	-0.157593	1.30705	-17.115	5.79402	
0.886909	0.194069	-1.37444	-15.9154	3.12336	
0.263319	-1.33166	-1.35565	-14.4607	-3.57534	
-1.3308	0.537122	0.684389	-15.9079	1.41752	
0.589873	1.55123	-1.31525	-13.8335	-2.2562	
-1.22157	1.46778	-0.110831	-14.2753	-2.24651	
-2.70519	-0.539512	2.63408	-11.6003	-2.55518	
3.61963	-2.01845	-1.96703	-10.0565	-4.72089	
3.07286	-1.9484	-4.12597	-8.84506	-5.10308	
-2.08577	-0.0973971	2.85836	-12.2301	-2.34166	
-0.249261	-0.254947	-2.20211	-15.7305	7.13543	
0.647134	-0.720001	-1.34478	-15.6104	-1.00022	
-0.0554144	-1.32747	0.436138	-15.2284	-1.31336	
0.985782	-0.220377	1.42189	-15.6701	7.96721	
-1.47117	-0.720001	-0.566163	-15.5328	0.252073	
0.321293	-1.47423	1.7293	-13.7429	-0.687294	
-2.35596	0.574405	2.24078	-12.4532	-1.80548	
4.62463	-1.11247	0.76942	-11.4921	-2.39535	
-3.03198	3.29573	-1.97511	-8.72072	-4.87924	
1.54385	-3.40369	-2.34455	-9.11084	-3.01975	
4.62463	-1.02336	0.76942	-11.6188	-1.94965	
0.908563	-0.952196	1.56075	-14.6231	-0.143085	
-0.52882	-1.98804	0.677966	-13.1969	-1.13748	
0.249133	-0.980922	1.29231	-15.3966	2.73136	
0.839728	-0.254947	-2.41137	-14.5474	0.968042	
2.12663	-0.695131	0.454573	-14.8619	0.970495	
4.0969	-1.9484	-3.71376	-8.35846	-2.63089	
-2.35596	-0.139796	0.621095	-15.0419	1.60476	
-1.85994	0.322602	2.17802	-13.2935	-0.612483	
-0.0493254	-2.46403	-0.566163	-12.1396	-1.52126	
1.54385	-2.48518	-1.40072	-11.2225	-1.4406	



#Generation 5 / 100
currentGen	5
evaluateCount	250
totalTime	0.279833
firstFrontCount	13
frontCount	5
avgEvalTime	1.23224e-05
#end
Var1	Var2	Var3	Obj1	Obj2	
0.086175	0.20019	-1.33105	-17.2133	-1.81122	
0.249133	-1.05194	1.6218	-14.8492	-6.18158	
0.285379	-1.10446	0.0850034	-15.9729	-3.1677	
-0.52882	-1.06554	1.6218	-14.6662	-6.7988	
-0.882189	-1.0808	0.0158961	-15.6211	-5.92861	
-0.860089	2.23352	2.59232	-11.2401	-7.93596	
-0.544423	-0.0434812	0.297799	-18.3811	0.403956	
-0.484373	0.140214	0.229048	-18.5177	0.582084	
-0.84131	-2.44122	-1.28949	-11.7235	-7.44932	
-0.519968	0.0239235	-0.776157	-17.5729	-1.49452	
-0.425335	-1.06711	-0.552598	-15.8109	-3.73097	
-0.76997	0.211183	-0.117988	-18.0519	-0.884642	
-0.665439	-0.85971	-0.47893	-16.2592	-2.80488	
-1.98356	2.30115	-1.13198	-11.4341	-7.03551	
-1.14507	0.262062	-1.97511	-14.6196	-6.66189	
-1.25266	-0.96096	0.735255	-15.1429	-3.60898	
-1.07816	-1.9484	-4.12597	-10.4208	-7.87104	
-0.552254	-1.1067	0.454573	-15.6804	-3.01516	
2.24842	0.204815	-0.8524	-14.7582	-4.44598	
-0.779055	-0.51588	-0.194315	-17.2516	-1.32053	
-0.550295	-0.0434812	0.342371	-18.2878	0.496582	
-0.0915594	-0.825738	-0.350248	-16.8269	-1.44965	
-0.310088	-0.603207	-1.35307	-16.1672	-1.9876	
2.24842	0.297232	-0.8524	-14.7015	-4.26004	
-0.425335	-0.652891	0.364709	-17.1677	0.146346	
0.470969	-1.24903	0.0621118	-15.444	-2.27433	
-1.97058	-0.0790593	0.556147	-15.6779	-1.56785	
-0.519968	3.30306	-0.963788	-10.1485	-5.41717	
0.247601	-0.0651761	2.17703	-15.9696	-1.51777	
-0.60647	-1.20082	0.555825	-15.3158	-2.73421	
-0.375266	-1.05878	-4.12597	-12.2537	-4.79888	
-0.242877	-0.748137	0.297799	-17.0569	-0.47803	
1.44718	-0.102624	0.574477	-16.3798	3.63699	
-2.74513	-0.576326	-1.37978	-13.1215	-4.05646	
0.247601	-0.157593	1.30705	-17.115	5.79402	
0.886909	0.194069	-1.37444	-15.9154	3.12336	
0.263319	-1.33166	-1.35565	-14.4607	-3.57534	
-1.3308	0.537122	0.684389	-15.9079	1.41752	
3.61963	-2.01845	-1.96703	-10.0565	-4.72089	
3.07286	-1.9484	-4.12597	-8.84506	-5.10308	
0.647134	-0.720001	-1.34478	-15.6104	-1.00022	
-0.0554144	-1.32747	0.436138	-15.2284	-1.31336	
-0.768045	1.66105	4.73547	-10.6003	-4.28427	
-0.289145	0.973286	-0.131222	-16.3789	5.39798	
-3.03198	3.29573	-1.97511	-8.72072	-4.87924	
-1.47117	-0.720001	-0.566163	-15.5328	0.252073	
-0.134848	-3.38943	-0.785119	-10.0608	-3.38589	
0.908563	-0.952196	1.56075	-14.6231	-0.143085	
-2.08577	-0.0973971	2.85836	-12.2301	-2.34166	
-1.22157	1.46778	-0.110831	-14.2753	-2.24651	



#Generation 6 / 100
currentGen	6
evaluateCount	300
totalTime	0.346823
firstFrontCount	14
frontCount	5
avgEvalTime	1.11994e-05
#end
Var1	Var2	Var3	Obj1	Obj2	
0.086175	0.20019	-1.33105	-17.2133	-1.81122	
0.249133	-1.05194	1.6218	-14.8492	-6.18158	
-0.52882	-1.06554	1.6218	-14.6662	-6.7988	
-0.882189	-1.0808	0.0158961	-15.6211	-5.92861	
-0.860089	2.23352	2.59232	-11.2401	-7.93596	
-0.84131	-2.44122	-1.28949	-11.7235	-7.44932	
-0.519968	0.0239235	-0.776157	-17.5729	-1.49452	
-0.76997	0.211183	-0.117988	-18.0519	-0.884642	
-0.777163	-0.115303	1.5969	-15.8059	-3.83026	
-1.34708	-0.86769	-0.111523	-15.6529	-3.92132	
-0.430051	-0.475747	-1.13113	-16.62	-3.73182	
0.255701	-1.09059	1.6218	-14.7575	-6.35978	
0.111115	-0.0790593	-0.445474	-18.8658	0.39038	
-1.00041	-0.646796	-0.137223	-16.6413	-3.64988	
0.285379	-1.10446	0.0850034	-15.9729	-3.1677	
-0.544423	-0.0434812	0.297799	-18.3811	0.403956	
-0.484373	0.140214	0.229048	-18.5177	0.582084	
-0.425335	-1.06711	-0.552598	-15.8109	-3.73097	
-0.665439	-0.85971	-0.47893	-16.2592	-2.80488	
-1.98356	2.30115	-1.13198	-11.4341	-7.03551	
-1.14507	0.262062	-1.97511	-14.6196	-6.66189	
-1.07816	-1.9484	-4.12597	-10.4208	-7.87104	
2.24842	0.204815	-0.8524	-14.7582	-4.44598	
-0.779055	-0.51588	-0.194315	-17.2516	-1.32053	
-0.0915594	-0.825738	-0.350248	-16.8269	-1.44965	
-0.61319	-0.111449	-0.424345	-17.988	-0.178474	
-0.0861019	-0.958605	0.0969374	-16.4963	-2.5932	
0.15919	-0.896267	0.206243	-16.6554	-1.80394	
0.103323	-0.284445	0.342371	-18.5609	1.04374	
4.41665	-1.29963	-1.29177	-10.9138	-7.34191	
-1.25266	-0.96096	0.735255	-15.1429	-3.60898	
-0.552254	-1.1067	0.454573	-15.6804	-3.01516	
-0.550295	-0.0434812	0.342371	-18.2878	0.496582	
2.24842	0.297232	-0.8524	-14.7015	-4.26004	
-0.425335	-0.652891	0.364709	-17.1677	0.146346	
-0.242877	-0.748137	0.297799	-17.0569	-0.47803	
-1.35905	0.0510131	-0.688258	-16.3293	-2.43974	
0.285379	-1.13935	-0.5443	-15.6747	-3.57411	
0.435255	0.558152	-0.993629	-16.6418	-0.742297	
-0.0164378	-1.01125	2.18908	-14.3425	-5.75429	
-1.24799	0.642139	1.63253	-14.5934	-4.64911	
0.289848	-1.22903	-2.00436	-14.0168	-6.28274	
-0.310088	-0.603207	-1.35307	-16.1672	-1.9876	
0.470969	-1.24903	0.0621118	-15.444	-2.27433	
-0.60647	-1.20082	0.555825	-15.3158	-2.73421	
0.263319	-1.33166	-1.35565	-14.4607	-3.57534	
-0.310899	0.307574	0.35241	-18.2694	1.43024	
-1.16233	-3.00904	-0.194315	-10.7172	-5.51049	
-1.15356	-0.237608	-2.37065	-14.1108	-5.06398	
-0.392817	0.48619	0.230061	-17.805	1.67518	



#Generation 7 / 100
currentGen	7
evaluateCount	350
totalTime	0.36559
firstFrontCount	14
frontCount	4
avgEvalTime	1.01791e-05
#end
Var1	Var2	Var3	Obj1	Obj2	
0.249133	-1.05194	1.6218	-14.8492	-6.18158	
-0.52882	-1.06554	1.6218	-14.6662	-6.7988	
-0.882189	-1.0808	0.0158961	-15.6211	-5.92861	
-0.519968	0.0239235	-0.776157	-17.5729	-1.49452	
-0.76997	0.211183	-0.117988	-18.0519	-0.884642	
-0.430051	-0.475747	-1.13113	-16.62	-3.73182	
0.255701	-1.09059	1.6218	-14.7575	-6.35978	
-1.00041	-0.646796	-0.137223	-16.6413	-3.64988	
-0.860089	1.71443	2.59232	-12.1848	-8.08775	
0.0369507	0.00732501	0.0611717	-19.8025	0.199411	
-0.184422	0.165325	-0.603614	-18.3402	0.063751	
-1.03039	-0.114552	-0.904261	-16.4609	-5.69545	
-0.591223	-0.115303	-0.929711	-17.1564	-2.85522	
0.086175	-0.0376414	-1.33105	-17.4757	-2.05522	
0.086175	0.20019	-1.33105	-17.2133	-1.81122	
-0.860089	2.23352	2.59232	-11.2401	-7.93596	
-0.84131	-2.44122	-1.28949	-11.7235	-7.44932	
0.111115	-0.0790593	-0.445474	-18.8658	0.39038	
0.285379	-1.10446	0.0850034	-15.9729	-3.1677	
-1.14507	0.262062	-1.97511	-14.6196	-6.66189	
-0.779055	-0.51588	-0.194315	-17.2516	-1.32053	
-0.61319	-0.111449	-0.424345	-17.988	-0.178474	
-0.0861019	-0.958605	0.0969374	-16.4963	-2.5932	
0.0226937	-1.06711	-0.664693	-15.8546	-4.31137	
1.65787	-0.366873	-0.211584	-16.3084	-2.99824	
0.086175	0.259803	-0.609374	-18.2264	0.122813	
-0.343371	-0.0296783	0.229048	-18.8825	0.65034	
0.086175	0.20019	-1.33105	-17.2133	-1.81122	
-0.463632	-0.892445	-0.993629	-15.8338	-5.46638	
-0.777163	-0.115303	1.5969	-15.8059	-3.83026	
-1.34708	-0.86769	-0.111523	-15.6529	-3.92132	
-0.544423	-0.0434812	0.297799	-18.3811	0.403956	
-0.484373	0.140214	0.229048	-18.5177	0.582084	
-0.425335	-1.06711	-0.552598	-15.8109	-3.73097	
-0.665439	-0.85971	-0.47893	-16.2592	-2.80488	
-1.98356	2.30115	-1.13198	-11.4341	-7.03551	
-1.07816	-1.9484	-4.12597	-10.4208	-7.87104	
2.24842	0.204815	-0.8524	-14.7582	-4.44598	
-0.0915594	-0.825738	-0.350248	-16.8269	-1.44965	
0.15919	-0.896267	0.206243	-16.6554	-1.80394	
4.41665	-1.29963	-1.29177	-10.9138	-7.34191	
-1.35905	0.0510131	-0.688258	-16.3293	-2.43974	
-0.0164378	-1.01125	2.18908	-14.3425	-5.75429	
-1.24799	0.642139	1.63253	-14.5934	-4.64911	
0.289848	-1.22903	-2.00436	-14.0168	-6.28274	
0.255701	-0.827114	1.6218	-15.3583	-4.4392	
0.187397	-0.727488	0.184698	-17.2111	-0.517306	
-0.232152	0.250555	-0.137223	-18.7843	0.848674	
-0.990671	-1.9484	-0.476405	-13.1541	-5.9064	
0.103323	-0.284445	0.342371	-18.5609	1.04374	



#Generation 8 / 100
currentGen	8
evaluateCount	400
totalTime	0.383469
firstFrontCount	16
frontCount	3
avgEvalTime	1.07104e-05
#end
Var1	Var2	Var3	Obj1	Obj2	
-0.519968	0.0239235	-0.776157	-17.5729	-1.49452	
-0.76997	0.211183	-0.117988	-18.0519	-0.884642	
0.0369507	0.00732501	0.0611717	-19.8025	0.199411	
-1.03039	-0.114552	-0.904261	-16.4609	-5.69545	
-0.591223	-0.115303	-0.929711	-17.1564	-2.85522	
0.086175	-0.0376414	-1.33105	-17.4757	-2.05522	
-0.76997	-1.1327	-1.0897	-14.9065	-8.99184	
-0.481047	-1.05171	-1.16388	-15.2422	-7.41879	
-1.22062	-0.952292	0.145742	-15.5847	-6.28392	
